1		I		0		7024
2		P		120		2230
3		B		40		1465
4		B		80		1431
5		P		240		1532
6		B		160		1161
7		B		200		1159
8		P		360		1607
9		B		280		1272
10		B		320		1238
11		I		480		6990
12		B		400		932
13		B		440		1061
14		P		600		1534
15		B		520		1194
16		B		560		1188
17		P		720		1678
18		B		640		1120
19		B		680		1272
20		P		840		1628
21		B		760		1144
22		B		800		1291
23		I		960		7001
24		B		880		1027
25		B		920		960
26		P		1080		1614
27		B		1000		1224
28		B		1040		1189
29		P		1200		1471
30		B		1120		1353
31		B		1160		1107
32		P		1320		1493
33		B		1240		1135
34		B		1280		1060
35		I		1440		6958
36		B		1360		1035
37		B		1400		1024
38		P		1560		1684
39		B		1480		1138
40		B		1520		1641
41		P		1680		1852
42		B		1600		1063
43		B		1640		1145
44		P		1800		1471
45		B		1720		1186
46		B		1760		1222
47		I		1920		6911
48		B		1840		912
49		B		1880		1108
50		P		2040		1567
51		B		1960		1232
52		B		2000		1240
53		P		2160		1640
54		B		2080		1048
55		B		2120		1123
56		P		2280		1617
57		B		2200		1061
58		B		2240		1218
59		I		2400		6922
60		B		2320		1001
61		B		2360		1051
62		P		2520		1640
63		B		2440		1254
64		B		2480		1237
65		P		2640		1510
66		B		2560		1143
67		B		2600		1221
68		P		2760		1639
69		B		2680		1317
70		B		2720		1079
71		I		2880		6816
72		B		2800		895
73		B		2840		888
74		P		3000		1598
75		B		2920		1110
76		B		2960		1128
77		P		3120		1463
78		B		3040		1363
79		B		3080		1251
80		P		3240		1511
81		B		3160		1224
82		B		3200		1263
83		I		3360		6795
84		B		3280		999
85		B		3320		880
86		P		3480		1534
87		B		3400		1414
88		B		3440		1276
89		P		3600		1333
90		B		3520		1132
91		B		3560		1111
92		P		3720		1424
93		B		3640		1076
94		B		3680		1022
95		I		3840		6834
96		B		3760		787
97		B		3800		807
98		P		3960		1513
99		B		3880		1512
100		B		3920		1227
101		P		4080		1435
102		B		4000		1148
103		B		4040		1182
104		P		4200		1633
105		B		4120		1070
106		B		4160		1433
107		I		4320		6917
108		B		4240		923
109		B		4280		1169
110		P		4440		1575
111		B		4360		1227
112		B		4400		1203
113		P		4560		1546
114		B		4480		1301
115		B		4520		1208
